LedgerAddressTransactionId,ImportId,Currency,TxId,Address,VoutN,Value,BlockTime,VinTransactionId,TransactionType,RunningBalance,LatestBalance,TokenRunningBalance,TokenLatestBalance,TokenSymbol,ContractAddress
1,1269,ETH,0x4ab574360d016ede681d926f9283ff55be1c1ff59a176210596e64bfddd52e70,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,6295735,0,08/09/18 18:48,0x4ab574360d016ede681d926f9283ff55be1c1ff59a176210596e64bfddd52e70,RECEIVED,0,0,55984.36,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2,1269,ETH,0xe7798973de8ccc5db4cc655a1366952f1e6b64f60be6b6b5de574bc5590d3fcf,0x6071d46c311838dcf6c7af5b704508dbde1d838b,6632993,0,03/11/18 1:34,0xe7798973de8ccc5db4cc655a1366952f1e6b64f60be6b6b5de574bc5590d3fcf,SENT,0,0,395.8376962,445.5376962,LINK,0x514910771af9ca656af840dff83e8264ecf986ca
3,1269,ETH,0x73d1a0d027b54397061ed4b005eae0cf7136fbe0c265c202212331ac1f87cf2d,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4722506,0,12/12/17 23:55,0x73d1a0d027b54397061ed4b005eae0cf7136fbe0c265c202212331ac1f87cf2d,SENT,0,0,3250395.244,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
4,1269,ETH,0x346314358a32d009675d0553a37ba041d0e60dd7bc2137a451492406ad6107cc,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4779372,0,22/12/17 23:46,0x346314358a32d009675d0553a37ba041d0e60dd7bc2137a451492406ad6107cc,SENT,0,0,3967779.253,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
5,1269,ETH,0x86f74df7142a2805b873dd4e16367a2225df5842516adced145b8aa27affd742,0x2051dd2bab0ae6c75dee40546e5ffa196ccc2448,6705166,0,14/11/18 21:19,0x86f74df7142a2805b873dd4e16367a2225df5842516adced145b8aa27affd742,SENT,0,0,0,0,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
6,1269,ETH,0xe440d8fe90a8f73e4d88dbece7b2a80b39144f67082f2750f5067db0d443d759,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,5652905,0,21/05/18 16:58,0xe440d8fe90a8f73e4d88dbece7b2a80b39144f67082f2750f5067db0d443d759,SENT,0,0,0,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
7,1269,ETH,0xfed3d8a397e39d9f8f066bf9cc369142a0ce3ab3ffbc2896cdf8ee5a6a8adb6f,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4676782,0,04/12/17 23:54,0xfed3d8a397e39d9f8f066bf9cc369142a0ce3ab3ffbc2896cdf8ee5a6a8adb6f,SENT,0,0,1038489.198,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
8,1269,ETH,0xfd1814482596032688e9c7caea9d9f966beb863b81153e9e0c8401aa97ce7723,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,4839893,0,02/01/18 5:11,0xfd1814482596032688e9c7caea9d9f966beb863b81153e9e0c8401aa97ce7723,RECEIVED,0,0,62947.26,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
9,1269,ETH,0x4e6e286573156d973eeb6d866da1b9756b827f5391bbfbd0c2f55f29da43f605,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,6873713,0,12/12/18 15:27,0x4e6e286573156d973eeb6d866da1b9756b827f5391bbfbd0c2f55f29da43f605,SENT,0,0,0,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
10,1269,ETH,0xf7ffbdee07ad196074932f805e216394b419ef0355c10225a6525b99698b3bf7,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,5590747,0,10/05/18 18:40,0xf7ffbdee07ad196074932f805e216394b419ef0355c10225a6525b99698b3bf7,SENT,0,0,0,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
11,1269,ETH,0xb76448b7016bf73fa9a876d8ea568fb4c67ec55fddcd4683d2ad7acde695a8bb,0x6071d46c311838dcf6c7af5b704508dbde1d838b,6284243,0,06/09/18 20:27,0xb76448b7016bf73fa9a876d8ea568fb4c67ec55fddcd4683d2ad7acde695a8bb,SENT,0,0,0,445.5376962,LINK,0x514910771af9ca656af840dff83e8264ecf986ca
12,1269,ETH,0x7daa0ceb8524c87171b30ae21f92617dc1d8857df9ed18127c43c104ee49fe31,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4572497,0,17/11/17 23:29,0x7daa0ceb8524c87171b30ae21f92617dc1d8857df9ed18127c43c104ee49fe31,SENT,0,0,361961.1734,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
13,1269,ETH,0xbe50ea2518cf5874b8903278aff849de3070edef8e77fc51e19f34991f0a71df,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4622246,0,25/11/17 23:44,0xbe50ea2518cf5874b8903278aff849de3070edef8e77fc51e19f34991f0a71df,SENT,0,0,2024514.012,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
